"Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","DQ Score"
"444769","Morphy Richards Chroma Round Sensor Bin StainlessSteel 50L","Morphy Richards",NA,"Sensor Bins","Silver","1","50L",0.941666666666667
"161631","Wilko Stainless Steel Kitchen PedalBin 12L","Wilko","12L","Pedal Bins",NA,NA,"12L",0.883333333333333
"165744","Pedal Bin Stainless Steel 30L","Wilko","30L","Pedal Bins","Metal",NA,"30L",0.891666666666667
"290346","Wilko Pedal Bin Black 30L","Wilko","30L","Pedal Bins","Black",NA,"30L",0.941666666666667
"290351","Wilko Pedal Bin Cream 30L","Wilko","30L","Pedal Bins","Cream",NA,"30L",0.941666666666667
"418134","Wilko Willow Waste Paper Bin White","Wilko","Paint","Waste Paper Bin",NA,"1","29x29x17Hcm",0.941666666666667
"421112","Wilko Dome Pedal Bin Small Aqua","Wilko",NA,"Pedal Bins",NA,"1",NA,0.825
"433588","Wilko Rectangular Touch Top Bin Angora 45L","Wilko","40L","Push Bins",NA,"1","33x48x65cm",0.941666666666667
"433589","Wilko Rectangular Touch Top Bin Platinuim 45L","Wilko","40L","Push Bins",NA,"1","33x48x65cm",0.941666666666667
"435863","Wilko Bullet Bin Steel 30L","Wilko",NA,"Push Bins",NA,NA,NA,0.766666666666667
"435870","Wilko Rectangular Touch Top Bin Black 45L","Wilko",NA,"Push Bins","Black","1","33x48x65cm",0.941666666666667
"435945","Wilko Recycling Bin 34L","Wilko",NA,"Recycling Bins",NA,NA,NA,0.766666666666667
"317172","Wilko Lift Top Waste Bin White 50L","Wilko Functional","50L","Lift Top Bins","White",NA,"50L",0.891666666666667
