"Article","Web Description","DQ Score"
"326053","Wilko 2 Tone Acrylic Pendant Smoke",1
"326137","Wilko Retro Swirl Shade Olive",1
"326178","Wilko Tapered Shade Parchment",1
"326199","Wilko Satin Tapered Shade White",1
"329149","Wilko Capiz Angular Drum Silver",1
"329152","Wilko Capiz Dome Shade Natural",1
"329153","Wilko Brass Beaded Pendant Mocha",1
"329166","Wilko Beaded Ball Pendant Shade Teal",1
"342596","Wilko 3 Tier Shade Plum",1
"6745","Wilko Functional Paper Shade White12 to 14in",1
"6746","Wilko Functional Paper Shade White 16in",1
