"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"315688","Berol Paper Mate Handwriting Pen Cartridge Red","Berol","Fountain Pens",NA,"1",NA,0.86
"337193","Berol Colour Fine Assorted 12pk","Berol","Fineliners",NA,NA,"Fine",0.86
"233148","Bic Cristal Original Ballpoint Pens Blue 4pk","Bic","Ballpoint Pens","Blue",NA,"Medium",0.93
"303017","Bic 4 Colours Original Ballpoint Pen","Bic","Ballpoint Pens",NA,NA,"Medium",0.86
"319271","Bic Kids Plastidecor Triangle Colouring Crayons12pk","Bic","Colouring Pens, Pencils and Crayons","Multi","1",NA,0.93
"337219","Bic Cristal Original Ballpoint Pens AssortedColours 10pk","Bic","Ballpoint Pens",NA,"10pk","1.0mm",0.93
"337236","Bic Cristal Original Ballpoint Pens Blue 10pk","Bic","Ballpoint Pens",NA,"10pk","1.0mm",0.93
"349393","Bic Cristal Fun Ballpoint Pens Assorted Colours10pk","Bic","Ballpoint Pens","Multi","10pk",NA,0.93
"349394","Bic Cristal Grip Ballpoint Pens Black 4pk","Bic","Ballpoint Pens",NA,"4pk",NA,0.86
"349395","Bic Evolution Graphite Pencils HB Grade 4pk","Bic","Pencils",NA,"1",NA,0.86
"349396","Bic Criterium Graphite Pencil 2B 2pk","Bic","Pencils",NA,"2pk",NA,0.86
"349455","Bic Kids Visa Colouring Felt Pens 12pk","Bic","Colouring Pens, Pencils and Crayons",NA,"1",NA,0.86
"349456","Bic Pencil Crayons Tropicolours 12pk","Bic","Colouring Pens, Pencils and Crayons",NA,"18",NA,0.86
"349524","Bic Kids Aquacolour Painting Pencils 12pk","Bic","Colouring Pens, Pencils and Crayons",NA,"1",NA,0.86
"416876","Bic Mini 4 Colour Pen","Bic","Ballpoint Pens",NA,"12",NA,0.86
"416878","Bic Orange Pens 20pk","Bic","Ballpoint Pens",NA,"20",NA,0.86
"416880","Bic Soft Feel Retractable Ballpoint Pens Black 3pk","Bic","Ballpoint Pens",NA,"3",NA,0.86
"416882","Bic Matic Strong Mechanical Pencils 10pk","Bic","Pencils",NA,"10",NA,0.86
"416886","Bic Velleda Whiteboard Markers Assorted Colours4pk","Bic","Marker Pens",NA,"4",NA,0.86
"417975","Bic Cristal Grip Ballpoint Pens Black 8pk","Bic","Ballpoint Pens",NA,"8",NA,0.86
"417976","Bic CD Dvd Marker Pen Loose","Bic","Marker Pens",NA,"12",NA,0.86
"432433","Bic 4 Colours Fluo Ballpoint Pen Assorted Colours","Bic","Ballpoint Pens","Multi","1",NA,0.93
"432436","Bic 4 Colours Shine Ballpoint Pen","Bic","Ballpoint Pens","Multi","1",NA,0.93
"432438","Bic Atlantis Exact Ballpoint Pen Assorted Colours3pk","Bic","Ballpoint Pens","Multi","1",NA,0.93
"432440","Bic Ink Eaters 2pk","Bic","Ballpoint Pens","Multi","1",NA,0.93
"432445","Bic Velleda Fine Dry Erase 2pk","Bic","Marker Pens","Black","1",NA,0.93
"432449","Bic Kids Learners Pencils 2pk","Bic","Pencils","Multi","1",NA,0.93
"433068","Bic Conte Water Based Colouring Felt Tips 0.9mm 10pk","Bic","Colouring Pens, Pencils and Crayons","Multi","1",NA,0.93
"433069","Bic Conte Premium Colouring Pencils 12pk","Bic","Colouring Pens, Pencils and Crayons","Multi","1",NA,0.93
"433070","Bic Conte Premium Watercolour Pencils 12pk","Bic","Colouring Pens, Pencils and Crayons","Multi","1",NA,0.93
"440176","Bic Evolution Graphite Pencils 4pk","Bic","Pencils","Multi","4",NA,0.93
"201053","Crayola Super Tips Colouring Pens 12pk","Crayola","Colouring Pens, Pencils and Crayons",NA,"12","12 pack",0.93
"230187","Crayola Beginnings First Markers 8pk","Crayola","Colouring Pens, Pencils and Crayons",NA,"8","8 pack",0.93
"231614","Crayola Crayons 24pk","Crayola","Colouring Pens, Pencils and Crayons",NA,"24","24 pack",0.93
"281129","Crayola Coloured Pencils 12pk","Crayola","Colouring Pens, Pencils and Crayons",NA,"12pk",NA,0.86
"349526","Crayola Colour Pencils 24pk","Crayola","Colouring Pens, Pencils and Crayons",NA,"24pk",NA,0.86
"433171","Crayola Supertips 24pk","Crayola","Colouring Pens, Pencils and Crayons","Multi","24",NA,0.93
"452974","Crayola Twistable Crayons 12pk","Crayola","Colouring Pens, Pencils and Crayons","Multi","24",NA,0.88
"452975","Crayola Dual Sided Pencils 12pk","Crayola","Colouring Pens, Pencils and Crayons","Multi","24",NA,0.88
"452976","Crayola Erasable Coloured Pencils 10pk","Crayola","Colouring Pens, Pencils and Crayons","Multi","24",NA,0.88
"432162","Oxford HB Pencils 12pk","Oxford","Pencils",NA,"12","1.5 x 4.8 x 21cm",0.93
"261573","Papermate Mechanical Pencil 4pk","Paper Mate","Pencils","Multi",NA,"0.7mm",0.88
"303187","Paper Mate Gel Pens Black Medium 2pk","Paper Mate","Gel Pens",NA,"2pk","Medium",0.93
"417136","Paper Mate Inkjoy Black 8pk","Paper Mate","Ballpoint Pens",NA,"8","L146 x W15 x H193",0.93
"417137","Paper Mate Inkjoy Assorted 8pk","Paper Mate","Ballpoint Pens",NA,"8","L146 x W15 x H193",0.93
"417138","Paper Mate Inkjoy Fun Colours 8pk","Paper Mate","Ballpoint Pens",NA,"8","L146 x W15 x H193",0.93
"431773","Pentel N850 Marker Blister 2pk","Pentel","Marker Pens","Black","2",NA,0.93
"432348","Pilot Frixion Ballpoint Pen 2pk","Pilot Pen","Ballpoint Pens","Black","2",NA,0.88
"261570","Sharpie Mini Fine Point Marker Assorted Colours","Sharpie","Marker Pens","Multi",NA,NA,0.86
"349392","Sharpie Permanent Marker Metallic 3pk","Sharpie","Marker Pens",NA,"3pk",NA,0.86
"417140","Sharpie Fine Permanent Marker Black 2pk","Sharpie","Marker Pens",NA,"2","L7.6 x W2.1 x H0.7",0.93
"423844","Sharpie Fine Markers Asstd Colours 12pk","Sharpie","Marker Pens",NA,"12","H 13.7cm, W 1.4cm",0.93
"423019","Snifty Scented Pen Assorted","Snifty","Ballpoint Pens",NA,"1","14.50x 1.5cm",0.93
"423020","Snifty Scented Pencil with Eraser Asst","Snifty","Pencils",NA,"1","22 x 1.2cm",0.93
"203232","STABILO Times Table Pencils 4pk","Stabilo","Pencils",NA,"4pk","HB",0.93
"302885","STABILO Boss Highlighters 4pk","Stabilo","Highlighters","Multi","4pk",NA,0.93
"349413","STABILO Highlighters Neon 4pk","Stabilo","Highlighters",NA,"4pk",NA,0.86
"349415","STABILO point 88 Fineliners in Zebrui Case20pk","Stabilo","Fineliners",NA,"20pk",NA,0.86
