"Article","Web Description","Brand","Type","Colour","Size","Assembly","DQ Score"
"436490","Forest Garden Wooden Cambridge Planter 1.5m x 50cm","Forest Garden","Planters",NA,"8.9cm x 9.8cm x 1.5cm","No",0.93
"436492","Forest Garden Caledonian Corner Planter 1.3m","Forest Garden","Raised Beds",NA,"19.3cm x 0.3cm x 1.3cm","Yes",0.93
"436493","Forest Garden Caledonian Tiered Raised Bed","Forest Garden","Raised Beds",NA,"0.9cm x 0.9cm x 0.6cm","Yes",0.93
"436494","Forest Garden Deep Root Planter 1.8m","Forest Garden","Planters",NA,"0.2cm x 79.8cm x 1.8cm","Yes",0.93
"436505","Forest Garden Raised Log Garden Planter","Forest Garden","Raised Beds",NA,"6.7cm x 0.1cm x 0.4cm","Yes",0.93
"436506","Forest Garden Rectangular Sleeper Raised Bed","Forest Garden","Raised Beds",NA,"0.3cm x 0.4cm x 1.2cm","Yes",0.93
"434003","Greenhurst Georgina Style Planters 4pk Chocolate","Gablemere","Planters",NA,"Large - H26.5 x 34cm Dia, Medium - H22 x 28cm Dia","No",0.88
"434004","Greenhurst Georgina Style Planters 4pk Black","Gablemere","Planters",NA,"Large - H26.5 x 34cm Dia, Medium - H22 x 28cm Dia","No",0.88
"456338","Gablemere Garden Planters Chalkboard Crate 3pk","Gablemere","Planters",NA,"H18 x L38 / 28.5 x D25 / 16cm","No",0.93
"436277","Rowlinson Raised Patio Planter","Rowlinson","Planters",NA,"180cm","No",0.93
"436278","Rowlinson Square Planter","Rowlinson","Planters",NA,"50cm","No",0.93
"436282","Rowlinson Marberry Rectangular Planter","Rowlinson","Planters",NA,"50cm","No",0.93
"406178","Whitefurze Barrel Planter 50cm","Whitefurze","Planters",NA,"50cm","No",0.93
"445708","Wilko Plant Pot Mover","Wilko","Plant Pot Mover",NA,"W 8 x L 126cm","No",0.93
