"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","DQ Score"
"100479","Bic Twin Lady Twin Blade 5pk","Bic","Female Razors","Multi",NA,"1","5 Pack",0.941666666666667
"433184","Bic Miss Soleil 4pk","Bic","Razor Blades",NA,NA,NA,NA,0.766666666666667
"433209","Bic Soleil Scent 4pk","Bic","Female Razors",NA,NA,NA,NA,0.766666666666667
"447832","Bic One Lady Razors 10pk","Bic","Female Razors",NA,NA,"10",NA,0.825
"449520","Bic Soleil Bella Colours Razors 3pk","Bic","Female Razors",NA,NA,"1",NA,0.825
"125933","Gillette Simply Venus Disposable Razors 4pk","Gillette","Female Razors","Multi",NA,"4pk",NA,0.883333333333333
"176085","Gillette Venus Womens Razor","Gillette","Female Razors","Multi",NA,"1",NA,0.883333333333333
"176101","Gillette Venus Classic Women's Razor BladeRefills 4pk","Gillette","Razor Blades","Multi",NA,"1","4 Pack",0.941666666666667
"263524","Gillette Venus Spa Breeze Women's Razor BladeRefills 4pk","Gillette","Razor Blades","Multi",NA,"1","4 Pack",0.941666666666667
"263527","Gillette Venus Spa Breeze Women's Razor with BladeRefill And Shower Holder","Gillette","Female Razors","Multi",NA,"1",NA,0.883333333333333
"270061","Gillette Venus Oceana Womens Disposable Razors 3pk","Gillette","Female Razors","Multi",NA,"3pk",NA,0.883333333333333
"275282","Gillette Venus Embrace Women's Razor","Gillette","Female Razors","Multi",NA,"1",NA,0.883333333333333
"275283","Gillette Venus Embrace Womens Razor Blade Refils4pk","Gillette","Razor Blades","Multi",NA,"1","4 Pack",0.941666666666667
"288189","Gillette Simply Venus Women's Disposable Razors4pk","Gillette","Female Razors","Multi",NA,"1","4 Pack",0.941666666666667
"288190","Gillette Satin Care Shaving Gel for Dry Skin200ml","Gillette","Female Shaving Gel","Multi",NA,"1","200ml",0.941666666666667
"318562","Gillette Venus Embrace Sensitive Razor","Gillette","Female Razors","Multi",NA,"1",NA,0.883333333333333
"318565","Gillette Venus Embrace Sensitive Womens BladeRefills 4pk","Gillette","Razor Blades","Multi",NA,"3",NA,0.883333333333333
"318567","Gillette Venus Embrace Sensitive WomensDisposable Razors 3pk","Gillette","Female Razors","Multi",NA,"1","3 Pack",0.941666666666667
"334665","Gillette Venus & Olay Razor Blades 3pk","Gillette","Razor Blades","Multi",NA,"1","3 Pack",0.941666666666667
"334689","Gillette Venus & Olay Women's Razor AndShower Holder","Gillette","Female Razors","Multi",NA,"1",NA,0.883333333333333
"33777","Gillette Shaving Foam Regular 200ml","Gillette","Mens Shaving Gel","Multi",NA,"1","200ml",0.941666666666667
"433592","Gillette Mach 3 Turbo Mens Razor","Gillette","Mens Razors",NA,NA,NA,NA,0.766666666666667
"47690","Gillette Blue II Disposable Razor 5pk","Gillette","Mens Razors","Multi",NA,"5pk",NA,0.883333333333333
"63196","Gillette Sensitive Skin Shave Gel 200ml","Gillette","Mens Shaving Gel","Multi",NA,"1","195g",0.941666666666667
"95791","Gillette Shaving Gel Satin Care Sensitive Skin200ml","Gillette","Female Shaving Gel","Multi",NA,"1","200ml",0.941666666666667
"56602","Palmolive For Men Palm Extract Shave Stick 50g","Palmolive","Mens Shaving Balms","Multi",NA,"1","50g",0.941666666666667
"176499","Veet Hair Removal Cream for Sensitive Skin 100ml","Veet","Removal Creams and Kits","Multi",NA,"1","100ml",0.941666666666667
"189325","Veet Ready To Use Facial Wax Strips 20pk","Veet","Wax Strips","Multi",NA,"1",NA,0.883333333333333
"202242","Veet Wax Strips for Sensitive Skin 20pk","Veet","Wax Strips",NA,NA,"20pk",NA,0.825
"229481","Veet Hair Removal Cream for Sensitive Skin 200ml","Veet","Removal Creams and Kits","Multi",NA,"1","200ml",0.941666666666667
"229484","Veet Hair Removal Cream Normal Skin 100ml","Veet","Wax Strips","Multi",NA,"1","100ml",0.941666666666667
"242622","Veet In-Shower Hair Removal Cream Normal Skin150ml","Veet","Removal Creams and Kits","Multi",NA,"1","150ml",0.941666666666667
"278881","Veet Spray On Hair Removal Cream Sensitive Skin150ml","Veet","Removal Creams and Kits","Multi",NA,"1","150ml",0.941666666666667
"411991","Veet Sensitive Hair Removal Cream 200ml","Veet","Removal Creams and Kits",NA,NA,"1","200ml",0.883333333333333
"444982","Veet Sensitive Precision Beauty Styler","Veet","Female Trimmers",NA,NA,NA,NA,0.766666666666667
"412036","Gillette Venus Snap Womens Portable Razor","Venus","Female Razors",NA,NA,"1",NA,0.825
"230079","Wilkinson Sword Xtreme 3 Beauty DisposableRazor 4pk","Wilkinson Sword","Female Razors","Multi",NA,"1","4 Pack",0.941666666666667
"338692","Wilkinson Sword Quattro Razor for Sensitive Skin3pk","Wilkinson Sword","Female Razors","Multi",NA,"1",NA,0.883333333333333
"432893","Wilkinson Sword Extra Beauty Razors 10pk","Wilkinson Sword","Female Razors",NA,NA,NA,NA,0.766666666666667
"449853","Wilkinson Sword Quattro for Women Razor","Wilkinson Sword","Female Razors",NA,NA,NA,NA,0.766666666666667
"449854","Wilkinson Sword Intuition Sensitive Care Razor","Wilkinson Sword","Female Razors",NA,NA,NA,NA,0.766666666666667
"449855","Wilkinson Sword Intuition Sensitive Care Blades3pk","Wilkinson Sword","Razor Blades",NA,NA,NA,NA,0.766666666666667
"449856","Quattro for Women Bikini Razor","Wilkinson Sword","Female Razors",NA,NA,NA,NA,0.716666666666667
"449857","Wilkinson Sword Quattro for Women Blades3pk","Wilkinson Sword","Razor Blades",NA,NA,NA,NA,0.766666666666667
"449858","Wilkinson Sword Xtreme 3 Beauty SensitiveRazors 4pk","Wilkinson Sword","Razor Blades",NA,NA,NA,NA,0.766666666666667
"449859","Wilkinson Sword Xtreme 3 Razor Duo 6 Pack","Wilkinson Sword","Mens Razors",NA,NA,"6",NA,0.825
"449860","Wilkinson Sword Intuition Ultra Moisture Razor 1pk","Wilkinson Sword","Female Razors",NA,NA,NA,NA,0.766666666666667
"449861","Wilkinson Sword Intuition Ultra Moisture Blades3pk","Wilkinson Sword","Razor Blades",NA,NA,NA,NA,0.766666666666667
"451127","Wilkinson Sword Xtreme 3 Sensitive Razor 1pk","Wilkinson Sword","Mens Razors",NA,NA,"1",NA,0.825
"451128","Wilkinson Sword Xtreme 3 Beauty Razor 1pk","Wilkinson Sword","Female Razors",NA,NA,"1",NA,0.825
"345657","Wilko Shaving Gel Sensitive Skin 200ml","Wilko","Female Shaving Gel",NA,NA,NA,"200ml",0.825
"345659","Wilko Shaving Gel Moisturising 200ml","Wilko","Female Shaving Gel",NA,NA,"1",NA,0.825
"347805","Wilko Twin Blade Disposable Razors 10pk","Wilko","Female Razors","Multi",NA,"10","10 Pack",0.941666666666667
"347806","Wilko Triple Blade Disposable Razors 5pk","Wilko","Female Razors","Multi",NA,"5",NA,0.883333333333333
"347809","Wilko Triple Blade Cartridges 5pk","Wilko","Razor Blades","Multi",NA,"1","5 Pack",0.941666666666667
"347810","Wilko Triple Blade Trend Pink Handle Razor","Wilko","Female Razors","Multi",NA,"1",NA,0.883333333333333
"347811","Wilko Triple Blade System Razor1 Handle and 2 Cartridges","Wilko","Female Razors","Multi",NA,"1",NA,0.883333333333333
