"Article","Web Description","Brand","DQ Score"
"448862","Burg-Wächter  Key Locking Safe P1S","Sterling",0.891666666666667
"448863","Burg-Wächter Key Locking Safe P2S","Sterling",0.891666666666667
"448864","Burg-Wächter Key Locking Safe P3S","Sterling",0.891666666666667
"448865","Burg-Wächter Electronic Keypad Safe P1 E","Sterling",0.891666666666667
"448866","Burg-Wächter Electronic Keypad Safe P2 E","Sterling",0.891666666666667
"448867","Burg-Wächter Electronic Keypad Safe P3 E","Sterling",0.833333333333333
"448868","Burg-Wächter Electric Keypad Safe P4 E","Sterling",0.891666666666667
"448869","Burg-Wächter  Finger Scan Lock Safe P2","Sterling",0.891666666666667
"448870","Burg-Wächter Finger Scan Lock Safe P3","Sterling",0.891666666666667
"448871","Burg-Wächter Finger Scan Lock Safe P4","Sterling",0.891666666666667
"448872","Burg-Wächter Electronic Keypad Laptop Sf","Sterling",0.833333333333333
"448873","Burg-Wächter Finger Scan Laptop Safe","Sterling",0.833333333333333
