"Article","Web Description","Brand","Type","Power","Size","Model Number","DQ Score"
"349442","Helix Ruler Oxford shatter Proof 30cm","Helix","Rulers",NA,"30cm",NA,0.86
"349443","Helix Oxford Folding Ruler 30cm","Helix","Rulers",NA,"30cm",NA,0.86
"349445","Maped 21cm Soft Touch Scissors","Maped","Scissors",NA,"21cm",NA,0.86
"253180","Wilko Safety Scissors","Wilko","Scissors",NA,NA,NA,0.79
"260575","Wilko Scissors General Purpose 8in","Wilko","Scissors",NA,"8in",NA,0.86
"260669","Wilko Ruler Plastic 6in","Wilko","Rulers",NA,"6in",NA,0.86
"262161","Wilko Pick n Mix Scissors","Wilko","Scissors",NA,NA,NA,0.79
"302339","Wilko Ruler 30cm","Wilko","Rulers",NA,NA,NA,0.79
"316983","Wilko Scissors General Purpose","Wilko","Scissors",NA,NA,NA,0.79
"333679","Wilko Pick n Mix Animal Ruler 15cm","Wilko","Rulers",NA,NA,NA,0.79
"349322","Wilko Triangular Scale Ruler","Wilko","Rulers",NA,NA,NA,0.79
