"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"312575","Peckish Wild Bird Winter Warmer Seed 1kg","Peckish","Seed Mix",NA,"1kg",0.9125
"312576","Peckish Wild Bird Complete 5 in 1 Mix 1kg","Peckish","Seed Mix",NA,"1kg",0.9125
"406655","Peckish Wild Bird 3 Port Seed Feeder","Peckish","Seed Feeder","1",NA,0.9125
"427672","Peckish Wild Bird All Weather Seed Feeder","Peckish","Seed Feeder","1",NA,0.9125
"298736","Wilko Wild Bird Metal Seed Feeder","Supa","Seed Feeder","1",NA,0.8625
"314630","Supa Wild Bird Seed Feeder Assorted","Supa","Seed Feeder","1",NA,0.9125
"314640","Supa Wild Bird Lantern Seed Feeder","Supa","Seed Feeder","1",NA,0.9125
"420114","Squirrel Proof X-2 Wild Bird Feeder","Supa","Squirrel Proof Feeders","1",NA,0.8625
"420115","Supa Harmony Wild Bird Feeder","Supa","Seed Feeder","4",NA,0.9125
"420116","Supa Radiant Wild Bird Feeder","Supa","Seed Feeder","4",NA,0.9125
"195071","Wilko Wild Bird Seed Block","Wilko","Seed Blocks","1",NA,0.9125
"298740","Wilko Wild Bird Seed Cage Feeder","Wilko","Seed Feeder","1",NA,0.9125
"121998","Wilko Functional Wild Bird Seed Feeder","Wilko Functional","Seed Feeder","1",NA,0.9125
