"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"214469","Korbond Iron on Mender 3.8 x 50cm 3pk","Korbond","Labelling & Repair ","3pk","3.8x50cm",1
"228239","Korbond Embroidery Floss 7m 20pk","Korbond","Thread Selection Packs ","20pk","7m",1
"228328","Korbond General Purpose Scissors 5in","Korbond","Scissors","1","12.5cm",1
"249440","Korbond Polyester Thread Selection Dark  32m 12pk","Korbond","Thread Selection Packs ","12pcs","12x32m",1
"249441","Korbond Thread Polyester Dark Assorted 32m 12pk","Korbond","Thread Selection Packs ","12pcs","12x32m",1
"287099","Korbond Nylon Thread Smoke and Clear 2pk","Korbond","Thread Selection Packs ","2pcs","110mx2",1
"287101","Korbond Buttons Asstorted 20pk","Korbond","Pins, Buttons & Fasteners ","20pk","Assorted",1
"287102","Korbond Needles Easy Thread 6pk","Korbond","Needles","6pk","41855",1
"288153","Korbond Sew on Snap Fastners 24pcs","Korbond","Pins, Buttons & Fasteners ","24pcs","12Pack",1
"288157","Korbond Threaded Needle Kit Assorted","Korbond","Sewing Kits ","1","Assorted",1
"83781","Korbond Tape Measure 150 x 60cm","Korbond","Sewing Tools ","1","150x60cm",1
"83786","Korbond Berry Pins Assorted 38 x 0.6mm 40pk","Korbond","Pins, Buttons & Fasteners ","40pk","38x0.6mm",1
"83790","Korbond Safety Pins Nickel Plated Assorted 50pk","Korbond","Pins, Buttons & Fasteners ","50pk","Assorted",1
"83791","Korbond Safety Pins Gilt Assorted 36pk","Korbond","Pins, Buttons & Fasteners ","36pk","Assorted",1
"83795","Korbond Needles Multi Purpose Assorted 7pk","Korbond","Needles ","7pk","Assorted",1
"83796","Korbond Needles Crewel size 3-9 16pk","Korbond","Needles ","16pk","41885",1
"83797","Korbond Needles Darning 1-5 10pk","Korbond","Needles","10pk","41760",1
"83798","Korbond Needles Tapestry 18-24 6pk","Korbond","Needles","6pk","18-24",1
"83800","Korbond Needles Dispenser Assorted 30pk","Korbond","Needles","30pk","Assorted",1
"83801","Korbond Home Needle Kit 45pk","Korbond","Needles","45pk","Assorted",1
"83803","Korbond Dressmaking Scissors Comfort Grip 9in","Korbond","Scissors","2pk","22.5cm",1
"83804","Korbond Dressmaking Scissors Comfort Grip 7in","Korbond","Scissors","1","17.5cm",1
"83807","Korbond Elastic white 2m","Korbond","Repair & Alterations ","1","12mmx2m",1
