"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"429120","Alberto Balsam Shampoo Juicy Green Apple350ml","Alberto Balsam","Shampoo","1","350ml",1
"429121","Alberto Balsam Shampoo SunkissedRaspberry 350ml","Alberto Balsam","Shampoo","1","350ml",1
"429122","Alberto Balsam Shampoo Tea Tree Tingle 350ml","Alberto Balsam","Shampoo","1","350ml",1
"429124","Alberto Balsam Tea Tree Tingle Conditioner 350ml","Alberto Balsam","Conditioner","1","350ml",1
"429125","Alberto Balsam Shampoo Coconut and Lychee  350ml","Alberto Balsam","Shampoo","1","350ml",1
"429127","Alberto Balsam Conditioner Coconut 350ml","Alberto Balsam","Conditioner","1","350ml",1
"186569","Aussie 3 Minute Miracle Reconstructor for DamagedHair 250ml","Aussie","Conditioner","1","250ml",1
"193827","Aussie Conditioner Miracle Moist for Dry DamagedHair 250ml","Aussie","Conditioner","1","250ml",1
"261939","Aussie Colour Mate Shampoo 300ml","Aussie","Shampoo","1","300ml",1
"261940","Aussie Colour Mate Conditioner 250ml","Aussie","Conditioner","1","250ml",1
"278444","Aussie Conditioner Mircale Shine For Dull TiredHair 250ml","Aussie","Conditioner","1","250ml",1
"307795","Aussie Mega Shampoo 300ml","Aussie","Shampoo","1","300ml",1
"351653","Aussie Miracle Dry Shampoo Colour Mate forColoured Hair 180ml","Aussie","Shampoo","1","180ml",1
"452986","Aussie 3 Minute Miracle Shine Deep Treatment 250ml","Aussie","Conditioner","1","250ml",1
"320722","Batiste Dry Shampoo Big and Bouncy XXL Volume 200ml","Batiste","Dry Shampoo","1","200ml",1
"320808","Batiste Dry Shampoo Original 200ml","Batiste","Dry Shampoo","1","200ml",1
"320809","Batiste Dry Shampoo Coconut and Exotic Tropical 200ml","Batiste","Dry Shampoo","1","200ml",1
"334581","Batiste Dry Shampoo Fruity and Cheeky Cherry 200ml","Batiste","Dry Shampoo","1","200ml",1
"334583","Batiste Dry Shampoo Blush 400ml","Batiste","Dry Shampoo","1","400ml",1
"446018","Creightons Sunshine Blonde Shampoo 250ml","Creightons","Shampoo","1","250ml",1
"446019","Creightons Sunshine Blonde Conditioner 250ml","Creightons","Conditioner","1","250ml",1
"446020","Creightons Sun Blonde Correct Shampoo 200ml","Creightons","Shampoo","1","200ml",1
"446022","Creightons Crème DeCoconut Shampoo 250ml","Creightons","Shampoo","1","250ml",1
