"Article","Web Description","Brand","DQ Score"
"402930","Alpecin Caffeine Shampoo C1 250ml","Ariel",0.95
"307832","Head And Shoulders Anti Dandruff ConditionerSmooth And Silky 400ml","Head & Shoulders",0.95
"322631","Head and Shoulders Anti-Dandruff Shampoo Apple Fresh 500ml","Head & Shoulders",0.95
"352685","Frizz Ease Recovery Conditioner 150ml","John Frieda",0.95
"352686","Frizz Ease Protecting  Cream 100ml","John Frieda",0.95
"352689","Frizz Ease Straight Shampoo 250ml","John Frieda",0.95
"352690","Frizz Ease Straight Conditioner 250ml","John Frieda",0.95
"352691","Frizz Ease Dream Curls Shampoo 250ml","John Frieda",0.95
"352692","Frizz Ease Dream Curls Conditioner 250ml","John Frieda",0.95
"352703","Frizz Ease Original Hair Serum 50ml","John Frieda",0.95
"451175","Pro:Voke Liquid Blonde Colour ActivatingTreatment Shampoo 150ml","Pro-Voke",0.95
"451176","Liquid Blonde Intense Shine Conditioner 150ml","Pro-Voke",0.95
"451177","Liquid Blonde Colour Care Shampoo 200ml","Pro-Voke",0.95
"451178","Liquid Blonde Colour Care Conditioner 200ml","Pro-Voke",0.95
"186286","Neutrogena T/Gel Therapeutic Shampoo 125ml","T Gel",0.95
"157942","Wash and Go Universal 2in1 Shampoo andConditioner 200ml","Wash & Go",0.95
"247177","Wash and Go Sport 2in1 Shampoo and Conditioner200ml","Wash & Go",0.8625
