"Article","Web Description","Brand","Type","Colour","Power","Pack Qty","Size","Model Number","DQ Score"
"331751","Babyliss For Men Home Hair Cutting Kit 22 Piece","BaByliss","Hair Trimmer",NA,"Mains, Battery","1",NA,"7447BU",0.9
"320727","Bic 2 Sensitive Disposables Soft Shave 10pk","Bic","Mens Razors","Multi","NONE","10",NA,"838530",0.95
"434302","Bic Flex 4 Comfort Razors 3pk","Bic","Disposable Razors",NA,NA,NA,NA,NA,0.75
"58185","Bic 1 Disposable Razor Sensitive 10pk","Bic","Mens Razors","Multi",NA,"1","10 Pack",NA,0.9
"147317","Gillette Mach 3 Men's Razor Blades 4pk","Gillette","Razor Blades","Multi",NA,"1",NA,NA,0.85
"147318","Gillette Mach3 Men's Razor Blades 8 Refills","Gillette","Razor Blades","Multi",NA,"1",NA,NA,0.85
"199624","Gillette Mach3 Turbo Mens Razor Blades 4pk","Gillette","Razor Blades","Multi",NA,"1","4 Pack",NA,0.9
"210390","Gillette Mach3 Men's Razor","Gillette","Mens Razors","Multi",NA,"1",NA,NA,0.85
"214467","Gillette Shaving Foam Sensitive Skin 200ml","Gillette","Mens Shaving Gel","Multi",NA,"1","200ml",NA,0.9
"225958","Gillette Contour Plus Replacement Cartridges10pk","Gillette","Razor Blades","Multi",NA,"1","10 Pack",NA,0.9
"247676","Gillette Fusion Mens Razor","Gillette","Mens Razors","Multi",NA,"1",NA,NA,0.85
"247678","Gillette Fusion Hydra Gel Sensitive Skin 200ml","Gillette","Mens Shaving Gel","Multi",NA,"1","200ml",NA,0.9
"247680","Gillette Fusion Mens Razor Blades 4pk","Gillette","Razor Blades","Multi",NA,"1",NA,NA,0.85
"278842","Gillette Mach3 Disposable Razor 3pk","Gillette","Mens Razors","Multi",NA,"1",NA,NA,0.85
"286209","Gillette Blue III Disposibles 4pk","Gillette","Mens Razors","Multi",NA,"4",NA,NA,0.85
"302123","Gillette Fusion Proglide Hydrating Shave Gel 200ml","Gillette","Mens Shaving Gel","Multi",NA,"1","200ml",NA,0.9
"323304","Gillette Fusion Proglide Mens Razor Blades4pk","Gillette","Razor Blades","Multi",NA,"1",NA,NA,0.85
"323307","Gillette Fusion Proglide Power Mens Razor Blades4pk","Gillette","Razor Blades","Multi",NA,"1","4 Pack",NA,0.9
"332715","Gillette Sensor 3 Sensitive Mens DisposableRazors 4pk","Gillette","Mens Razors","Multi",NA,"1","4 Pack",NA,0.9
"333108","Gillette Fusion Power Mens Razor Blades 4pk","Gillette","Razor Blades","Multi",NA,"1",NA,NA,0.85
"402966","Gillette Sensor 3 Disposable Razors 8pk","Gillette","Mens Razors","Multi",NA,"8",NA,NA,0.85
"412360","Gillette Fusion Proglide Sensitive Ocean BreezeShaving Gel 170ml","Gillette","Mens Shaving Gel",NA,NA,"1",NA,NA,0.8
"412364","Gillette Fusion Proglide Sensitive Active SportShaving Gel 170ml","Gillette","Mens Shaving Gel",NA,NA,"1",NA,NA,0.8
"413174","Gillette Fusion Proglide Razor with FlexBallTechnology","Gillette","Mens Razors",NA,NA,"1",NA,NA,0.8
"413176","Gillette Fusion Proglide Power Razor withFlexBall Technology","Gillette","Mens Razors",NA,NA,"1",NA,NA,0.8
"427806","Gillette Mach 3 Sensitive  Gel 200ml","Gillette","Mens Shaving Gel",NA,NA,"1",NA,NA,0.8
"430638","Gillette Fushion Proshield Chill Blades 4pk","Gillette","Razor Blades",NA,NA,NA,NA,NA,0.75
"430641","Gillette Fusion Proshield Manual Chill Razor","Gillette","Mens Razors",NA,NA,"1",NA,NA,0.8
"431266","Gillette Blue 2 Disposable Razor 8pk","Gillette","Mens Razors",NA,NA,"8pk",NA,NA,0.8
