"Article","Web Description","Brand","Type","DQ Score"
"427800","Amber Single Bed Frame White","Amber","Single Bed",1
"427801","Amber Single Bed Frame Antique Pine","Amber","Single Bed",1
"s100068","Carlow Single Bed Natural Pine","Carlow","Single Bed",1
"420761","Diamante Single Bed Frame Black","Diamante","Single Bed",1
"440458","Dorset Bed Frame 3ft Black","Dorset","Single Bed",1
"440459","Dorset Bed Frame 3ft Silver","Dorset","Single Bed",1
"440460","Dorset Bed Frame 3ft White","Dorset","Single Bed",1
"440463","Jupiter 3ft Bunk Bed Oak","Jupiter","Bunk Bed",1
"440465","Jupiter Triple Sleeper Antique pine","Jupiter","Bunk Bed",1
"440466","Jupiter Triple Sleeper White","Jupiter","Bunk Bed",1
"440448","Moran Girls Bed 3ft Pink","Moran","Single Bed",1
"440449","Rennie Boys Bed 3ft Blue","Rennie","Single Bed",1
"440450","Turin Day Bed 3ft Black","Turin","Single Bed",1
"440451","Turin Day Bed 3ft Cream","Turin","Single Bed",1
"440467","Ville High End Single Bed Frame Antique Pine","Ville","Single Bed",1
"440468","Ville High End Single Bed Frame White","Ville","Single Bed",1
