"Article","Web Description","Brand","Type","DQ Score"
"314880","Rosewood Pet Products Pet Keeper Small 3L","Rosewood","Tanks and Aquariums",1
"314347","Rotastak Home Zone Genus 200 Gerbil and HamsterWire Cage","Rotastak","Housing",1
"314883","Rotastak Dreamland Complete Home for Hamsters, Gerbils and Mice","Rotastak","Housing",1
"314885","Rotastak Super Pod","Rotastak","Housing",1
"138283","Wilko Small Animal Disinfectant Cleaner 300ml","Wilko","Disinfectant Cleaner",1
"417690","Wilko Small Animal Soft n Safe Bedding 20g","Wilko","Bedding",1
"56237","Wilko Wood Shavings for Small Animal","Wilko","Bedding",1
"70465","Wilko Harvest Straw for Small Animal","Wilko","Bedding",1
"70466","Wilko Meadow Hay for Small Animal","Wilko","Bedding",1
"80089","Wilko Wood Shavings for Small Animals","Wilko","Bedding",1
