"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"100613","Bristows Hairspray Ultra Hold 300ml","Bristows","Hairspray","Multi","1","300ml",1
"68049","Bristows Conditioning Hold Hairspray 300ml","Bristows","Hairspray","Multi","1","300ml",1
"225116","Brylcreem Gel Original 150ml","Brylcreem","Hair Gel and Wax","Multi","1","150ml",1
"55412","Brylcreem Strong 24 Hour Hold Gel 150ml","Brylcreem","Hair Gel and Wax","Multi","1","150ml",1
"352716","John Frieda Luxurious Volume Blow Dry Lotion 125ml","John Frieda","Volumising Powder","Multi","1","125ml",1
"205402","L'Oreal Elnett Normal Strength Hairspray 200ml","L'Oreal","Hairspray","Multi","1","200ml",1
"205403","L'Oreal Elnett Extra Strength Hairspray 200ml","L'Oreal","Hairspray","Multi","1","200ml",1
"220740","L'Oreal Elnett Normal Strength Hairspray 75ml","L'Oreal","Hairspray","Multi","1","75ml",1
"221383","L'Oreal Elnett Supreme Hold Hairspray 200ml","L'Oreal","Hairspray","Multi","1","200ml",1
"236597","L'Oreal Elnett Extra Strength Hairspray 75ml","L'Oreal","Hairspray","Multi","1","75ml",1
"290536","L'Oreal Elnett Infinite Shine Hairspray 200mlParis Collection","L'Oreal","Hairspray","Multi","1","200ml",1
"32841","L'Oreal Elnett Supreme Hold Hairspray 400ml","L'Oreal","Hairspray","Multi","1","400ml",1
"351727","L'Oreal Elnett Infinite Shine Hairspray 400mlParis Collection","L'Oreal","Hairspray","Multi","1","400ml",1
"69028","L'Oreal Elnett Normal Strength Hairspray 400ml","L'Oreal","Hairspray","Multi","1","400ml",1
"239804","Pantene Pro-V Perfect Volume LightweightHairspray 300ml","Pantene","Hairspray","Multi","1","300ml",1
"239805","Pantene Pro-V Extra Strong Hold Hairspray 300ml","Pantene","Hairspray","Multi","1","300ml",1
"242479","Pantene Pro-V Ice Shine lightweight Hairspray300ml","Pantene","Hairspray","Multi","1","300ml",1
"252053","Pantene Pro-V Ultra Strong Hold Hairspray 300ml","Pantene","Hairspray","Multi","1","300ml",1
"290257","Schwarzkopf Got2Be Spiking GlueGlued 150ml","Schwarzkopf","Hair Gel and Wax","Multi","1","150ml",1
"315894","Schwarzkopf Got2b Powderful Volumizing Styling Powder 10g","Schwarzkopf","Volumising Powder","Multi","1","10g",1
"333174","Schwarzkopf Got2b Istylers Restyler Texture Clay 75ml","Schwarzkopf","Clay and Putty","Multi","1","75ml",1
"334576","Schwarzkopf Got2b Oil-Licious Styling Oil Tame andShine 50ml","Schwarzkopf","Hair Gel and Wax","Multi","1","50ml",1
"351782","Silvikrin Classic Hairspray Flexible Hold 400ml","Silvikrin","Hairspray","Multi","1","400ml",1
"222256","Tresemme Salon Finish Hair Spray Extra Hold 500ml","Tresemme","Hairspray","Multi","1","500ml",1
"242094","Tresemme Firm Hold Hair Spray 100ml","Tresemme","Hairspray","Multi","1","100ml",1
"345375","Tresemme Hairspray Freeze Hold Salon Finish 500ml","Tresemme","Hairspray","Multi","1","500ml",1
"141025","VO5 Extra Hold Hairspray 275ml","VO5","Hairspray","Multi","1","275ml",1
"141026","VO5 Firm Hold Hairspray 275ml","VO5","Hairspray","Multi","1","275ml",1
"141028","VO5 Groomed Styling Wax 75ml","VO5","Hair Gel and Wax","Multi","1","75ml",1
"193844","VO5 Extra Body Styling Mousse 200ml","VO5","Mousse","Multi","1","200ml",1
"193845","VO5 Mega Hold Styling Mousse 200ml","VO5","Mousse","Multi","1","200ml",1
"193846","VO5 Volume Boost Gel Spray 200ml","VO5","Hairspray","Multi","1","200ml",1
"200644","VO5 Mega Hold Gel Spray 200ml","VO5","Hairspray","Multi","1","200ml",1
"205398","VO5 Extreme Style Texture reWork Putty 150ml","VO5","Clay and Putty","Multi","1","150ml",1
"221351","VO5 Extreme Style Texture Texturising Gum 75ml","VO5","Hair Gel and Wax","Multi","1","75ml",1
"351647","VO5 Plump It Up Weightless Mousse 200ml","VO5","Mousse","Multi","1","200ml",1
"140787","Wella Shockwaves Strong Control Styling Hairspray250ml","Wella","Hairspray","Multi","1","125ml",1
"212609","Wella Shock Waves Ultra Strong Mess Constructor 150ml","Wella","Hair Gel and Wax","Multi","1","150ml",1
"236800","Wella Shockwaves Ultra Strong Tuff StuffSweat Proof Gel 200ml","Wella","Hair Gel and Wax","Multi","1","200ml",1
"44589","Wella Shockwaves Ultra Strong Power Hold Gel 200ml","Wella","Hair Gel and Wax","Multi","1","200ml",1
"74126","Wella Shockwaves Curls and Waves Mousse 200ml","Wella","Mousse","Multi","1","200ml",1
"74349","Wella Shockwaves Volume Mousse 200ml","Wella","Mousse","Multi","1","200ml",1
"83621","Wella Shock Waves Ultra Strong Power Hold Hairspray 250ml","Wella","Hairspray","Multi","1","250ml",1
"306085","Wilko Style Gel Wet Look 250ml","Wilko","Hair Gel and Wax","Multi","1","250ml",1
"306086","Wilko Hair Gel Extra Hold 500ml","Wilko","Hair Gel and Wax","Multi","1","500ml",1
"342930","Wilko Hair Mousse Extra Firm Control 300ml","Wilko","Mousse","Multi","1","300ml",1
"345032","Wilko Hairspray Firm 300ml","Wilko","Hairspray","Multi","1","300ml",1
"345033","Wilko Hairspray Extra Firm 300ml","Wilko","Hairspray","Multi","1","300ml",1
"345038","Wilko Hair Mousse Firm 300ml","Wilko","Mousse","Multi","1","300ml",1
