"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"406649","Peckish Wild Bird Daily Goodness Seed 1kg","Peckish","Suets","1","1kg",1
"314634","Supa Suet Pellet Feeder","Supa","Suet Feeder","1","12in",1
"196266","Wilko Wild Bird Coconut Suet Feeder","Wilko","Suet Feeder","1","180g",1
"249527","Wilko Wild Bird Suet with insect 300g","Wilko","Suets","1","300g",1
"266938","Wilko Wild Bird Suet Pellets with Berry 550g","Wilko","Suets","1","550g",1
"412088","Wilko Wild Bird Suet Nuggets 1kg","Wilko","Suets","1","1kg",1
"412534","Wilko Wild Bird Suet Log with Insect 6pk","Wilko","Suets","6","6x90g",1
"412537","Wilko Wild Bird Suet Log with Berry 6pk","Wilko","Suets","6","6x90g",1
"412538","Wilko Wild Bird Suet Log with Mealworm 6pk","Wilko","Suets","6","6x90g",1
"416896","Wilko Wild Bird Butter with Peanut and Mealworm350g","Wilko","Suets","1","350g",1
"440446","Wilko Wild Bird Suet Log with Insect","Wilko","Suets","1","500g",1
"440447","Wilko Wild Bird Suet Log with Berry","Wilko","Suets","1","500g",1
"445631","Wilko Wild Bird Suet Granola 1kg","Wilko","Suets","1","1 kg",1
"455411","Wilko Berry Suet Block","Wilko","Suets","1","10cm X 10cm X 2.5cm",1
"455412","Wilko Insect Suet Block","Wilko","Suets","1","10cm X 10cm X 2.5cm",1
"455413","Wilko Mealworm Suet Block","Wilko","Suets","1","10cm X 10cm X 2.5cm",1
"455415","Wilko Berry Suet Pellet 12.55kg","Wilko","Suets","1","1.5cm X .5cm X .5 cm",1
"455416","Wilko Insect Suet Pellet 12.55kg","Wilko","Suets","1","1.5cm X .5cm X .5 cm",1
"455417","Wilko Mealworm Suet Pellet 12.55kg","Wilko","Suets","1","1.5cm X .5cm X .5 cm",1
