"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"451130","Banana Boat Baby Sun Protection LotionSPF 50 60ml","Banana Boat","Baby and Kids Suncream","1",NA,0.9125
"451133","Banana Boat Aloe Vera Gel 230g","Banana Boat","Aftersun","1",NA,0.9125
"253573","Calypso Once A Day Sun Protection Medium SPF20200ml","Calypso","Sun Cream Spf20",NA,"200ml",0.9125
"433689","Calypso Once a Day SPF30 200ml","Calypso","Sun Cream SPF30","1",NA,0.9125
"433690","Calypso Deep Tan MonoTahiti SPF2 200ml","Calypso","Sun Oil","1",NA,0.9125
"433691","Calypso Deep Tan Oil Mono Tahiti SPF6 200ml","Calypso","Sun Oil","1",NA,0.9125
"433692","Calypso Deep Tan Oil Mono Tahiti SPF15 200ml","Calypso","Sun Oil","1",NA,0.9125
"433694","Calypso Original Carrot Oil SPF6 200ml","Calypso","Sun Oil","1",NA,0.9125
"433695","Calypso Original Carrot Oil SPF15 200ml","Calypso","Sun Oil","1",NA,0.9125
"450646","Calypso After Sun Lotion 500ml","Calypso","Aftersun","1",NA,0.9125
"452630","Calypso Wet Skin Dry Oil SPF10 200ml","Calypso","Sun Cream SPF10","1",NA,0.9125
"452631","Calypso Wet Skin Dry Oil SPF15 200ml","Calypso","Sun Cream SPF15","1",NA,0.9125
"452632","Calypso Wet Skin Dry Oil SPF30 200ml","Calypso","Sun Cream Spf30","1",NA,0.9125
"242758","Garnier Ambre Solaire After Sun Tan Maintainer200ml","Garnier","Aftersun",NA,"200ml",0.9125
"245124","Garnier Ambre Solaire Sensitive Sun Cream SPF50+200ml","Garnier","Sun Cream Spf50",NA,"200ml",0.9125
"253513","Garnier Ambre Solaire Clear Protect Sun CreamSpray SPF30 200ml","Garnier","Sun Cream Spf30",NA,"200ml",0.9125
"276612","Garnier Ambre Solaire Clear Protect Sun CreamSpray SPF15 200ml","Garnier","Sun Cream Spf15",NA,"200ml",0.9125
"302314","Garnier Ambre Solaire Clear Spray SPF50 200ml","Garnier","Sun Cream Spf50",NA,"200ml",0.9125
"451131","Hawaiian Tropic Hydrat After Sun 180ml","Hawaiian","Aftersun","1",NA,0.9125
"451132","Hawaiian Tropic After Sun Body Butter 200ml","Hawaiian","Aftersun","1",NA,0.9125
"409327","Jungle Formula Pump Max 90ml","Jungle Formula","Insect Repellents","1",NA,0.9125
"452948","Jungle Formula Kids Bracelet","Jungle Formula","Insect Repellents","1",NA,0.9125
"452949","Jungle Formula Kids Lotion 125ml","Jungle Formula","Baby and Kids Suncream","1",NA,0.9125
"128176","Nivea Sun Protect And Moisture Sun LotionSPF20 Medium 200ml","Nivea","Sun Cream Spf20",NA,"200ml",0.9125
"128177","Nivea Sun Moisturising After Sun Lotion 200ml","Nivea","Aftersun",NA,"200ml",0.9125
"151203","Nivea Sun Moisturising After Sun Spray 200ml","Nivea","Aftersun",NA,"200ml",0.9125
"216089","Nivea Sun Protect Lip Balm SPF 30 4.8g","Nivea","Lip Care",NA,"4.8g",0.9125
"242832","Nivea Sun Protect And Moisture Sun LotionSPF30 High 200ml","Nivea","Sun Cream Spf30",NA,"200ml",0.9125
"242837","Nivea Sun Protect And Moisture Sun SpraySPF20 Medium 200ml","Nivea","Sun Cream Spf20",NA,"200ml",0.9125
"286607","Nivea Sun Kids Spray SPF50+ Very High 200ml","Nivea","Baby and Kids Suncream",NA,"200ml",0.9125
"286608","Nivea Sun Kids Pocket Size Lotion SPF50+ Very High50ml","Nivea","Baby and Kids Suncream",NA,"50ml",0.9125
"306724","Nivea Hydro Care Lip Balm SPF 15 4.8g","Nivea","Lip Balm",NA,NA,0.825
"451136","Nivea Sun Kids Trigger Spray SPF50+ Very High 300m","Nivea","Baby and Kids Suncream","1",NA,0.9125
"286584","Piz Buin In Sun Allergy Lotion High SPF30 200ml","Piz Buin","Sun Cream Spf30",NA,"200ml",0.9125
"450600","Riemann P20 SPF Once a Day Sun ProtectionSpray 30 SPF 100ml","Rieman P20","Sun Cream SPF30","1",NA,0.8625
"450601","Riemann P20 Once a Day Sun Protection SpraySPF 50 100ml","Rieman P20","Sun Cream SPF50","1",NA,0.8625
"250846","Wilko Insect Repellent Spray Extra Strength 100ml","Wilko","Insect Repellents",NA,"100ml",0.9125
"250847","Wilko Cool and Smooth Spray 50ml","Wilko","Insect Repellents",NA,"50ml",0.9125
