"Article","Web Description","Brand","Type","Colour","Size","Assembly","Material","DQ Score"
"219351","Wilko Pot Pourri Sweet Strawberry and Red Fruits","Wilko","Pot Pourri",NA,"Large","No",NA,0.883333333333333
"290167","Wilko Scented Tealights Red Berries 30pk","Wilko","Tealights","Red","30 Pack","No",NA,0.941666666666667
"290172","Wilko Scented Pillar Candle Red Fruit 7 x 14.5cm","Wilko","Pillar Candle","Red","7x14.5cm","No",NA,0.941666666666667
"292908","Wilko Scented Pillar Candle Red Fruit 6 x 9.5cm","Wilko","Pillar Candle","Red","6x9.5cm","No",NA,0.941666666666667
"292976","Wilko Hurricane Vase Red","Wilko","Hurricane Vase","Red","Single","No",NA,0.941666666666667
"341169","Wilko Cushion Chenille Red 43 x 43cm","Wilko","Plain Cushion","Red","43x43cm","No",NA,0.941666666666667
"351294","Wilko Swirl Glass Bowl Red","Wilko","Bowls","Red",NA,"No",NA,0.883333333333333
"404112","Wilko Swirl Glass Bowl Gold","Wilko","Bowls","Gold",NA,"No",NA,0.883333333333333
"406959","Wilko Hammered Effect Bowl Gold Sahara Range","Wilko","Bowls",NA,NA,"No","Metal",0.883333333333333
"407378","Wilko Glass Bottle Gold","Wilko","Decorative Accessories","Gold",NA,"No",NA,0.883333333333333
"413615","Wilko Scented Glass Candle Red Berries","Wilko","Fragranced Candles",NA,NA,"No",NA,0.825
"427041","Wilko Decorative Tealight Holder Red  SaharaCollection","Wilko","Tealight Holders",NA,NA,"No",NA,0.825
"427106","Wilko Candle Jar Sweet Strawberry and Red Fruit55 Hours Burn Time","Wilko","Fragranced Candles",NA,"9.7 x 9.7 x 11.5cm","No",NA,0.883333333333333
"427112","Wilko Candle Square Glass Jar Red Fruit30 Hours Burn Time","Wilko","Fragranced Candles",NA,"8 x 8 x 8cm","No",NA,0.883333333333333
"427135","Wilko Pot Pourri Sweet Strawberry and Red FruitsSmall","Wilko","Pot Pourri",NA,NA,"No",NA,0.825
"427136","Wilko Red Decorative Balls","Wilko","Decorative Accessories",NA,NA,"No",NA,0.825
"427160","Wilko Key Shaped Clock and Calendar","Wilko","Calendar",NA,NA,"No",NA,0.825
"427206","Wilko Glass Tealights Set of 2","Wilko","Tealight Holders",NA,"8.2 x 17 x 9.5cm","No","Glass",0.941666666666667
"438275","Wilko LED Metal Star Red","Wilko","Decorative Lighting",NA,NA,"No",NA,0.825
"438278","Wilko Copper Effect Lantern Medium","Wilko","Lanterns",NA,NA,"No",NA,0.825
"446562","Wilko Oriental Blossom Cushion 43x43cm","Wilko","Cushions",NA,"43 x 43cm","No","100% Cotton",0.941666666666667
"446579","Wilko Striped Chenille Cushion Red","Wilko","Cushions",NA,"43 x 43cm","No",NA,0.883333333333333
"446917","Wilko Ceramic Cylinder Vase Cream","Wilko","Vases","Cream","25 x 10 x 10cm","No",NA,0.941666666666667
"447176","Wilko Etched Blossom Glass Vase","Wilko","Vases",NA,NA,"No",NA,0.825
"455350","Wilko Grey Dahlia Canvas 48x48cm","Wilko","Wall Art",NA,"48x48x1.8cm","No","Polyester Canvas, MDF frame, metal hanger",0.941666666666667
"455383","Wilko Lake Canvas 48x48cm","Wilko","Wall Art",NA,"48x48x1.8cm","No","Polyester Canvas, MDF frame, metal hanger",0.941666666666667
"455500","Wilko Glass Two Tone Vase Red","Wilko","Vases",NA,NA,"No","100% Glass",0.883333333333333
