"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"283508","Li-lets Tampons Super Plus Extra 14pk","li-Lets","Tampons","14",NA,0.9125
"332793","Li-lets Tampons Regular 16pk","li-Lets","Tampons","16",NA,0.9125
"255194","Tampax Compak Super Plus Applicator Tampons 20pk","Tampax","Tampons","20pk",NA,0.9125
"255195","Tampax Compak Super Tampons 20pk","Tampax","Tampons","20pk",NA,0.9125
"255196","Tampax Compak Regular Applicator Tampons 20pk","Tampax","Tampons","20",NA,0.9125
"263699","Tampax Super 20pk","Tampax","Tampons","20",NA,0.9125
"279036","Tampax Pearl Regular 20pk","Tampax","Tampons","20pk",NA,0.9125
"279037","Tampax Pearl Super 18pk","Tampax","Tampons","18pk",NA,0.9125
"417533","Tampax Compak Pearl Super Plus 18pk","Tampax","Tampons",NA,NA,0.825
"417534","Tampax Compak Pearl Super 18pk","Tampax","Tampons",NA,NA,0.825
"417535","Tampax Compak Pearl Regular 18pk","Tampax","Tampons",NA,NA,0.825
"347507","Wilko Applicator Tampons Regular 20pk","Wilko","Tampons","20",NA,0.9125
"347508","Wilko Applicator Tampons Super 20pk","Wilko","Tampons","20",NA,0.9125
"347511","Wilko Non-Applicator Tampons Super Plus 16pk","Wilko","Tampons","16",NA,0.9125
"347525","Wilko Non-Applicator Tampons Super 16pk","Wilko","Tampons","16",NA,0.9125
"347528","Wilko Tampons Non Applicator Regular 16pk","Wilko","Tampons","16",NA,0.9125
