"Article","Web Description","Brand","Type","DQ Score"
"225126","Wilko Clear Jewel Toilet Brush Holder ChromeEffect","Wilko","Toilet Brushes and Holders",1
"272455","Wilko Toilet Brush Holder Stainless Steel","Wilko","Toilet Brushes and Holders",1
"298523","Wilko Toilet Brush with Chrome Handle White","Wilko","Toilet Brushes and Holders",1
"327181","Wilko Toilet Brush and Holder White Dome","Wilko","Toilet Brushes and Holders",1
"341653","Wilko Toilet Brush Holder Black","Wilko","Toilet Brushes and Holders",1
"341696","Wilko Toilet Brush Holder Silver Mosaic","Wilko","Toilet Brushes and Holders",1
"407442","Wilko Retro Toilet Brush Grey","Wilko","Toilet Brushes and Holders",1
"421113","Wilko Toilet Brush Holder Aqua","Wilko","Toilet Brushes and Holders",1
"423848","Wilko Toilet Brush Holder Purple","Wilko","Toilet Brushes and Holders",1
"451457","Wilko Toilet Brush Single","Wilko","Toilet Brushes and Holders",1
"451460","Wilko Sandstone Toilet Brush Holder","Wilko","Toilet Brushes and Holders",1
"453202","Wilko Resin Sparkle Toilet Brush Holder","Wilko","Toilet Brushes and Holders",1
"23469","Wilko Functional Toilet Brush White","Wilko Functional","Toilet Brushes and Holders",1
