"Article","Web Description","Brand","Capacity","Type","Colour","Pack Qty","Size","Material","DQ Score"
"406808","Wilko Printed Storage Bag Grey","Wilko",NA,"Storage Bag","Grey","1",NA,NA,0.85
"418130","Wilko Willow Storage Trunk White","Wilko",NA,"Storage Trunks",NA,"1","59x42x40Hcm","Willow, and Polester Lining",0.9
"418135","Wilko Willow Storage Basket White Set of 2","Wilko",NA,"Storage Basket",NA,"2","39x27x17Hcm, 32x23x15Hcm","Willow, and Polester Lining",0.9
"418136","Wilko Willow Storage Tote White","Wilko",NA,"Storage Tote",NA,"1","42x35x30Hcm","Willow",0.9
"418137","Wilko Williow Storage Tote Grey","Wilko",NA,"Storage Tote",NA,"1","42x35x30Hcm","Willow, and Polester Lining",0.9
"418141","Wilko Willow Storage Hamper White","Wilko",NA,"Storage Hamper",NA,"1","35x35x17Hcm","Willow and Polester Lining",0.9
"418142","Wilko Willow Storage Hamper Grey","Wilko",NA,"Storage Hamper",NA,"1","35x35x17Hcm","Willow, and Polester Lining",0.9
"418346","Wilko Large Decoration Box Black","Wilko",NA,"Storage Box",NA,"1",NA,"CARDBOARD",0.85
"418347","Wilko Large Decoration Box White","Wilko",NA,"Storage Box",NA,"1",NA,"CARDBOARD",0.85
"431369","Wilko Large Woven Tote Charcoal","Wilko",NA,"Storage Totes",NA,"1","25cm x 34cm x 42cm","Polypropylene, Card",0.9
"431370","Wilko Large Woven Tote Cream","Wilko",NA,"Storage Totes",NA,"1","25cm x 34cm x 42cm","Polypropylene, Card",0.9
"431371","Wilko Small Woven Tote Charcoal","Wilko",NA,"Storage Tote",NA,"1","19.5cm x 25cm x 36cm","Polypropylene, Card",0.9
"431372","Wilko Small Woven Tote Cream","Wilko",NA,"Storage Totes",NA,"1","19.5cm x 25cm x 36cm","Polypropylene, Card",0.9
"431373","Wilko Small Woven Tote Cobblestone","Wilko",NA,"Storage Totes",NA,"1",NA,"Polypropylene, Card",0.85
"431419","Wilko Storage Trunk Grey","Wilko",NA,"Storage Trunks",NA,"1","42Lx59Wx40H cm","willow, polyester lining",0.9
"435941","Wilko Caddy Basket Large","Wilko",NA,"Baskets",NA,"1","13.5x19x28cm","Plastic",0.9
"454560","Wilko 4 Drawer Storage Faux Linen Cream","Wilko",NA,"Storage Tower",NA,"1","44x32x73cm","MDF Linen Fabric",0.9
"454561","Wilko 3 Drawer Storage Faux Linen Cream","Wilko",NA,"Storage Tower",NA,"1","30x26x50cm","MDF board, Faux Linen fabric , Nonwoven liner",0.9
"454563","Wilko 4 Drawer Storage Faux Linen Grey","Wilko",NA,"Storage Tower",NA,"1","44x32x73cm","MDF Linen Fabric",0.9
"454564","Wilko 3 Drawer Storage  Faux Linen Grey","Wilko",NA,"Storage Tower","Grey","1","30x26x50cm","MDF board, Faux Linen fabric , Nonwoven liner",0.95
