"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"352739","Batiste Dry Shampoo Blush 50ml","Batiste","Dry Shampoo","1","50ml",1
"281806","Colgate Toothpaste Total Advanced Clean25ml","Colgate","Regular Toothpaste","1","25ml",1
"352738","Dove Body Wash Nourishing 55ml","Dove","Shower Gel","1","55ml",1
"351742","Dr Beckmann Travel Wash 100ml","Dr Beckmann","Travel Wash","1","100ml",1
"292146","Johnsons Baby Powder 100g","Johnsons","Talc","1","100ml",1
"266855","Listerine Mouthwash Total Care Clean Mint 95ml","Listerine","Mouthwash","1","95ml",1
"305863","Original Source Shower Gel Lemon and Tea Tree 50ml","Original Source","Shower Gel and Body Wash","1","50ml",1
"348834","Wilko Suncare Lotion SPF30 50ml","Wilko","Sun Cream Spf30","1","50ml",1
"348835","Wilko Suncare Lotion SPF50 50ml","Wilko","Sun Cream Spf50","1","50ml",1
"348836","Wilko After Sun Lotion 50ml","Wilko","Aftersun","1","50ml",1
