"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"433493","Aussie Conditioner Miracle Moist 75ml","Aussie","Conditioner","1",NA,0.9125
"433494","Aussie Shampoo Miracle Moist 75ml","Aussie","Shampoo","1",NA,0.9125
"254650","Gillette Series Gel Sensitive Skin - Cool Wave Shave Gel 75ml","Gillette","Mens Shaving Gel",NA,"75ml",0.9125
"305140","Impulse Body Spray True Love Freesia andTangerine 35ml","Impulse","Female Bodysprays",NA,"35ml",0.9125
"267302","Johnsons Baby  Shampoo 100ml","Johnsons","Baby Shampoo and Soap",NA,"100ml",0.9125
"403078","Elvive Shampoo Colour Protect 50ml","L'Oreal","Shampoo","1",NA,0.8625
"292145","Listerine Mouthwash Stay White Arctic Mint 95ml","Listerine","Mouthwash",NA,"95ml",0.9125
"278798","Lynx Deodorant Body Spray Africa 35ml","Lynx","Mens Bodysprays",NA,"35ml",0.9125
"433470","Lynx Black Shower Gel 50ml","Lynx","Shower Gel","1",NA,0.9125
"278803","Pantene Pro-V Conditioner Normal-Thick HairSmooth and Sleek 75ml","Pantene","Conditioner",NA,"75ml",0.9125
"278804","Pantene Pro-V Shampoo Normal-Thick Hair Smoothand Sleek 75ml","Pantene","Shampoo",NA,"75ml",0.9125
"347755","Wilko Travel Bottle 100ml","Wilko","Travel Accessories","1",NA,0.9125
"347756","Wilko Travel Bottle Spray 100ml","Wilko","Travel Accessories","1",NA,0.9125
"347757","Wilko Travel Bottle Pump 100ml","Wilko","Travel Accessories","1",NA,0.9125
"347758","Wilko Travel Pot","Wilko","Travel Accessories","1",NA,0.9125
