"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"328526","Wilko Placemat Rectangular Slate 2pk","Wilko","Placemats",NA,"1","2 Pack",0.93
"408311","Wilko Chip Basket Server","Wilko","Serving Basket",NA,"1",NA,0.86
"408315","Wilko Slate Heart Shaped Sign","Wilko","Ornaments",NA,"1",NA,0.86
"414763","Wilko Utility Oval Individual Pie Dish 18cm","Wilko","Pie Dish",NA,NA,NA,0.79
"414764","Wilko Utility Rectangular Roaster 22cm","Wilko","Roaster",NA,NA,NA,0.79
"414765","Wilko Utility Rectangular Roaster 25cm","Wilko","Roaster",NA,NA,NA,0.79
"416855","Wilko Utility Roaster Large 2.8L","Wilko","Roaster",NA,NA,NA,0.79
"416856","Wilko Utility Round Pie Dish 24cm","Wilko","Pie Dish",NA,NA,"24cm",0.86
"416858","Wilko Utility Casserole Dish 2.4L","Wilko","Casserole",NA,"1",NA,0.86
"427964","Wilko Non Slip Tray","Wilko","Trays",NA,"1",NA,0.86
"427979","Wilko Serving Basket Rectangular Large","Wilko","Serving Basket",NA,"1",NA,0.86
"453016","Wilko Casserole Dish Round Grey and White","Wilko","Casserole","Multi","1",NA,0.93
"453019","Wilko Square Roaster Grey and White 36cm","Wilko","Roaster","Multi","1",NA,0.93
"453134","Wilko Mug Reactive Glazed Cool Grey","Wilko","Mugs","Grey","1",NA,0.93
