"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"435410","Rawlplug Universal Plug 5 x 24mm Yellow96pk","Rawlplug","Fixings","96","5mm",1
"435411","Rawlplug Universal Plug 6 x 28mm Red96pk","Rawlplug","Fixings","96","6mm",1
"435412","Rawlplug Universal Plug 7 x 30mm Brown96pk","Rawlplug","Fixings","96","7mm",1
"435414","Rawlplug Universal Plug 8 x 32mm Blue40pk","Rawlplug","Rawlplug","40","8mm",1
"435415","Rawlplug Universal Plug 10 x 36mm Grey40pk","Rawlplug","Rawlplug","40","10mm",1
"435422","Rawlplug Tap It Fixing for Hollow Walls10.5 x 30mm 12pk","Rawlplug","Fixings","12","4 x 38mm",1
"437115","Wilko Wall Fixing 7mm Brown100pk","Wilko","Fixings","100","7mm",1
"437116","Wilko Wall Fixing 6mm Red100pk","Wilko","Fixings","100","6mm",1
"437119","Wilko Wall Fixing 8mm Blue30pk","Wilko","Fixings","30","8mm",1
"437120","Wilko Wall Fixing 10mm Grey50pk","Wilko","Fixings","50","10mm",1
