"Article","Web Description","Brand","Type","Pack Qty","Size","DQ Score"
"243647","Butchers Tinned Dog Food Tripe Mix in Jelly  400g","Butchers","Tinned",NA,"400g",0.9125
"221217","Cesar Dog Food Turkey Tray 150g","Cesar","Foil Tray",NA,"150g",0.9125
"267124","Cesar Dog Food Chicken and Turkey Tray 150g","Cesar","Foil Tray",NA,"150g",0.9125
"292557","Chappie Tinned Dog Food Chicken and Rice 6 x 412g","Chappie","Tinned",NA,"412g",0.9125
"314840","Naturediet Dog Food Vegetables and Rice TraySenior Lite 390g","Naturediet","Senior Food",NA,"390g",0.9125
"314841","Naturediet Dog Food Salmon Prawn Vegetables andRice Tray Sensitive Digestion 390g","Naturediet","Foil Tray",NA,"390g",0.9125
"336147","Naturediet Dog Food Chicken and Lamb withVegetables and Rice Tray 390g","Naturediet","Foil Tray",NA,"390g",0.9125
"252409","Pedigree Tinned Adult Dog Food Mixed pk in Jelly6 x 385g","Pedigree","Tinned",NA,"6x385g",0.9125
"267128","Pedigree Tinned Dog Food Country Casserole inGravy 6 x 400g","Pedigree","Tinned",NA,"6x400g",0.9125
"27241","Webbox Dog Food Chub Roll Chicken 800g","Webbox","Sausage Chub",NA,"800g",0.9125
"3564","Webbox Dog Food Chub Roll Beef 800g","Webbox","Sausage Chub",NA,"800g",0.9125
"54135","Webbox Dog Food Chub Roll Lamb and Rice 800g","Webbox","Sausage Chub",NA,"800g",0.9125
"270388","Wilko Tinned Dog Food Chicken Lamb and BeefChunks in Jelly 6 x 400g","Wilko","Tinned",NA,"6x400g",0.9125
"303596","Wilko Dog Food Can Covers 3pk","Wilko","Can Covers","3",NA,0.9125
"303627","Wilko Dog Food Meaty Feast Terrine with JuicyBeef Tray 300g","Wilko","Foil Tray",NA,"300g",0.9125
"303629","Wilko Dog Food Meaty Feast Terrine Chicken andRice Tray for Senior Dogs 150g","Wilko","Senior Food",NA,"150g",0.9125
"243644","Wilko Functional Tinned Dog Food Chicken inJelly 400g","Wilko Functional","Tinned",NA,"400g",0.9125
