"Article","Web Description","Brand","Type","Colour","Pack Qty","Size","DQ Score"
"318838","Wilko Salad Bowl Ceramic White 23cm","Wilko","Bowls","White",NA,"23cm",0.93
"318850","Wilko Bowl Ceramic White","Wilko","Bowls","White",NA,"15cm",0.93
"318852","Wilko Creamer Jug Ceramic White","Wilko","Jugs","White","1",NA,0.93
"318856","Wilko Teapot Ceramic White","Wilko","Teapot","White","1",NA,0.93
"318877","Wilko Milk Jug Ceramic White Small","Wilko","Jugs","White",NA,"Small",0.93
"319341","Wilko Gravy Boat and Stand White","Wilko","Gravy Boat","White",NA,"Set",0.93
"319342","Wilko Butter Dish White","Wilko","Butter Dish","White","1",NA,0.93
"319374","Wilko Dip Dish Round Ceramic 3 Section White","Wilko","Dip Dishes","White","1",NA,0.93
"319384","Wilko Pasta Bowl Ceramic White 29cm","Wilko","Bowls","White","1",NA,0.93
"427981","Wilko Long Handled Bamboo Serving Board","Wilko","Serving Board",NA,"1",NA,0.86
"427982","Wilko Serving Board Rectangular Bamboo","Wilko","Serving Board",NA,"1","38x26cm",0.93
"236178","Wilko Functional Side Plate White","Wilko Functional","Side Plate","White",NA,"19cm",0.93
"236180","Wilko Functional Mug White","Wilko Functional","Mugs","White","1",NA,0.93
