"Article","Web Description","Brand","Type","Coverage","Colour","Pack Qty","Size","DQ Score"
"171235","Colron Preparation Furniture Stripper 500ml","Colron","Furniture Cleaner and Stripper",NA,NA,"1","500ml",0.883333333333333
"171277","Colron Preparation Knotting Solution 125ml","Colron","Knotting Solution",NA,NA,NA,"125ml",0.825
"212917","Colron Finishes French Polish 250ml","Colron","Polish",NA,NA,NA,"250ml",0.825
"289138","Colron Refined Beeswax Antique Pine 400g","Colron","Interior Wax",NA,NA,"1","400g",0.883333333333333
"289139","Colron Refined Beeswax Medium Oak 400g","Colron","Interior Wax",NA,NA,NA,"400g",0.825
"289140","Colron Refined Beeswax Dark Oak 400g","Colron","Interior Wax",NA,"Brown","1","400g",0.941666666666667
"289141","Colron Refined Beeswax Natural 400g","Colron","Interior Wax",NA,NA,NA,"400g",0.825
"289158","Colron Repair Wax Repair Sticks 24g","Colron","Wax Repair Stricks",NA,NA,"1","24g",0.883333333333333
"171431","Ronseal Quick Drying Woodstain Gloss Deep Mahogany750ml","Ronseal","Gloss Woodstain",NA,NA,NA,"750ml",0.825
"171432","Ronseal Quick Drying Woodstain Satin Deep Mahogany750ml","Ronseal","Satin Woodstain",NA,NA,NA,"750ml",0.825
"212922","Ronseal Quick Drying Woodstain Satin Teak 750ml","Ronseal","Satin Woodstain",NA,NA,NA,"750ml",0.825
"212923","Ronseal Quick Drying Woodstain Teak Gloss 750ml","Ronseal","Gloss Woodstain",NA,NA,NA,"750ml",0.825
"228226","Ronseal Hardglaze Interior Ultra Tough Gloss Clear750ml","Ronseal","Gloss Varnish","10m²",NA,NA,"750ml",0.883333333333333
"228227","Ronseal Satincoat Ultra Tough Varnish Clear 750ml","Ronseal","Satin Varnish","7.5m²",NA,NA,"750ml",0.883333333333333
"345327","Ronseal Quick Drying Satin Woodstain Ebony 750ml","Ronseal","Satin Woodstain",NA,NA,NA,"750ml",0.825
"345328","Ronseal Quick Drying Satin Woodstain Natural Oak 750ml","Ronseal","Satin Woodstain","15sq m",NA,NA,"750ml",0.883333333333333
"345329","Ronseal Quick Drying Gloss Woodstain Antique Pine750ml","Ronseal","Gloss Woodstain",NA,NA,NA,"750ml",0.825
"345330","Ronseal Quick Drying Satin Woodstain Antique Pine750ml","Ronseal","Satin Woodstain",NA,NA,NA,"750ml",0.825
"49838","Ronseal Quick Drying Woodstain Satin Dark Oak 750ml","Ronseal","Satin Woodstain","12-15m²",NA,NA,"750ml",0.883333333333333
"49840","Ronseal Quick Drying Woodstain Satin Walnut 750ml","Ronseal","Satin Woodstain","12-15m²",NA,NA,"750ml",0.883333333333333
"73737","Ronseal Quick Drying Woodstain Gloss Walnut 750ml","Ronseal","Gloss Woodstain","12-15m²",NA,NA,"750ml",0.883333333333333
"73739","Ronseal Quick Drying Woodstain Gloss Mahogany 750ml","Ronseal","Gloss Woodstain","12-15m²",NA,NA,"750ml",0.883333333333333
"73742","Ronseal Quick Drying Woodstain Gloss Dark Oak 750ml","Ronseal","Gloss Woodstain","12-15m²",NA,NA,"750ml",0.883333333333333
